Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),DebtToIncomeRatio,LoanToPropertyRatio,TotalFinancialBurden
61,1664.52,0,2,12,1,72448.95,398.88,0,1,2.0,781.51,0,2,1664.52,4,2,1,113464.01,54336.71,0.2394927710264662,0.6385135822929024,72847.83
54,3716.54,0,2,3,0,116487.58,521.23,1,1,4.0,749.33,1,2,3716.54,1,2,1,194442.39,75716.93,0.14020830979626311,0.5990822315945016,117008.81
61,2077.42,0,2,11,1,70815.01,417.01,0,0,1.0,779.55,0,0,2077.42,4,0,1,102502.2,0.0,0.20063798462293472,0.6908565781360971,71232.01999999999
64,2346.88,0,2,5,0,89489.99,327.14,0,1,1.0,803.04,0,2,2346.88,4,0,1,148424.56,67117.49,0.13933420788115233,0.6029284309252396,89817.13
65,1523.03,1,5,7,1,66567.35,299.53,1,1,3.0,862.33,0,1,1523.03,4,1,0,118617.77,46597.14,0.1965381258899103,0.561187323051824,66866.88
41,1837.17,0,2,4,0,112910.57,422.61,1,0,2.0,722.74,0,0,1837.17,4,2,1,128407.6,73391.87,0.22990800633238492,0.8793069155804206,113333.18000000001
32,1537.82,0,2,7,0,93103.63,351.54,1,1,3.0,671.65,0,0,1537.82,2,2,0,116861.82,0.0,0.2284477716692011,0.7966916252748307,93455.17
19,2889.94,0,2,5,0,57810.08,264.92,0,1,2.0,787.74,0,0,2889.94,3,1,1,80756.7,40467.06,0.09163801393318437,0.7158460431636859,58075.0
44,1266.06,0,2,7,1,12402.54,136.65,0,1,3.0,804.2,0,1,1266.06,4,1,1,21913.58,-999.0,0.10784808927754014,0.565949244749386,12539.19
24,2538.85,0,2,7,0,120525.64,552.77,1,1,3.0,721.27,1,0,2538.85,1,0,1,170642.55,84367.95,0.2176388369391893,0.7063005897380827,121078.41
55,2497.4,0,2,7,1,115851.35,479.87,0,1,2.0,712.05,0,1,2497.4,1,1,0,151126.46,0.0,0.19207092539225104,0.7665804083519965,116331.22
63,700.07,1,5,7,1,38101.51,240.38,0,1,2.0,860.88,0,1,700.07,4,2,1,47390.38,28576.13,0.34287588971144106,0.8039755331032775,38341.89
18,4028.01,0,4,12,0,95922.71,417.05,0,1,2.0,620.0,0,2,4028.01,4,1,0,139522.21,0.0,0.10351178080967781,0.6875036060308533,96339.76000000001
18,5350.94,0,3,17,1,99492.44,516.71,1,1,2.0,733.68,0,0,5350.94,3,0,0,188950.33,0.0,0.09654629909901831,0.5265506202046845,100009.15000000001
23,4141.15,0,4,7,0,168825.55,621.83,1,0,3.0,637.03,0,2,4141.15,1,1,0,193087.29,0.0,0.15012252091305242,0.8743438040701483,169447.37999999998
29,3880.49,0,2,12,2,234770.77,636.65,1,1,5.0,767.85,0,2,3880.49,4,1,1,326886.67,164339.54,0.16402206369203579,0.7182001389039849,235407.41999999998
32,2478.54,0,2,15,1,30195.97,225.64,0,1,1.0,739.815,0,2,2478.54,2,0,1,45299.77,24156.78,0.0910007501391387,0.6665663740373509,30421.61
18,2223.3,0,2,7,1,85927.28,217.19,0,0,2.0,688.21,0,2,2223.965,2,0,1,160151.78,60149.1,0.09764420267050307,0.5365331778817701,86144.47
28,2474.33,0,2,7,1,17503.0,144.82,0,1,3.0,855.97,1,1,2474.33,2,0,1,32580.57,14002.4,0.058505330602384324,0.5372055428882033,17647.82
18,1220.16,0,2,7,1,35595.86,153.25,0,0,3.0,706.08,0,1,1220.16,4,1,1,41948.44,24917.1,0.12549543057420812,0.8485419590821712,35749.11
18,1671.02,0,4,12,1,91850.54,438.64,0,1,2.0,834.62,0,2,1671.02,1,0,1,144087.09,0.0,0.2623413595531154,0.6374610143003492,92289.18
49,1974.82,0,2,3,1,43299.94,264.58,0,1,2.0,651.45,0,0,1974.82,2,0,1,58269.09,0.0,0.1339089593181565,0.7430903230113426,43564.520000000004
61,5302.28,0,2,15,0,186715.38,527.81,1,0,1.0,748.38,0,2,5302.28,3,1,1,270558.3,121365.0,0.09952519949917786,0.6901088966448391,187243.19
18,2368.34,0,2,7,1,18386.57,219.7,0,1,2.0,672.32,0,1,2368.34,3,1,1,27966.91,11951.27,0.09272624443937973,0.6574166607372521,18606.27
28,2067.66,0,2,3,1,39290.22,193.27,0,1,3.0,630.73,0,2,2067.66,2,1,1,70132.42,0.0,0.09342762947995321,0.560221075772435,39483.49
18,7885.56,0,3,17,2,121963.5,587.8,1,1,1.0,721.18,1,1,7885.56,1,2,1,142645.25,85374.45,0.07453186180032866,0.8550067036462577,122551.3
30,4096.07,0,2,3,1,65332.24,334.81,1,0,3.0,707.3,0,0,4096.07,4,2,1,122411.52,42465.96,0.08171937506559566,0.5337055392700027,65667.05
54,5330.72,0,2,17,1,133531.81,535.77,0,0,1.0,861.21,1,2,5330.72,2,2,1,170214.99,100148.86,0.10048727239990096,0.7844845246324978,134067.58
37,2680.38,0,3,7,1,85145.49,618.52,0,1,1.0,855.18,0,0,2680.38,2,0,1,104278.0,68116.39,0.23067226577359418,0.816516172959081,85764.01000000001
51,3384.91,0,2,7,1,40679.95,340.44,0,1,2.0,799.57,1,2,3384.91,4,1,1,54618.45,32543.96,0.10054608657642998,0.7447887153752005,41020.39
18,1694.53,0,3,12,0,41837.3,286.68,1,0,3.0,747.21,1,0,1694.53,1,2,1,75416.35,27194.25,0.16907987472943564,0.5547437028747364,42123.98
27,1960.17,0,2,17,1,123034.46,684.16,0,0,3.0,715.43,0,0,1960.17,2,0,0,169416.28,0.0,0.3488529806187123,0.7262214338466537,123718.62000000001
54,1871.92,0,2,15,1,55863.31,318.76,0,1,2.0,797.47,0,2,1871.92,4,1,1,102110.07,44690.65,0.17019413536082692,0.547083778477691,56182.07
44,1761.15,0,2,2,1,75574.36,355.11,0,0,1.0,755.48,0,0,1761.15,2,0,1,84102.27,56680.77,0.20152086939250347,0.8985900310415992,75929.47
64,2478.3,0,2,12,1,171270.39,560.47,0,0,3.0,733.67,0,1,2478.3,1,2,1,300043.91,111325.75,0.226059774936474,0.5708158488674246,171830.86000000002
59,2223.3,0,3,7,1,155502.39,502.13,0,0,2.0,855.39,1,1,2223.965,2,1,1,228079.45,116626.79,0.2257474261565436,0.6817874570135231,156004.52000000002
62,1282.74,0,2,7,1,71476.86,334.91,0,0,4.0,775.55,0,2,1282.74,1,2,1,85170.57,57181.49,0.26088616074906135,0.8392103139580496,71811.77
39,1822.63,0,2,4,1,47012.15,238.11,0,1,1.0,757.22,0,1,1822.63,1,0,1,84534.32,35259.11,0.13056924924463845,0.5561243513362225,47250.26
61,3104.0,0,2,13,1,159180.09,669.51,0,1,2.0,842.99,0,0,3104.0,4,0,1,278885.16,119385.07,0.2156231884057971,0.570770847861364,159849.6
21,1984.32,0,2,3,1,90857.67,479.49,1,1,2.0,775.57,0,0,1984.32,2,1,1,119869.89,0.0,0.24151774021316463,0.7579627547605594,91337.16
55,2223.3,0,3,5,1,46240.13,226.65,0,1,1.0,644.64,0,0,2223.965,3,1,1,63760.17,0.0,0.10189722609360248,0.7252083046782234,46466.78
18,3031.97,0,2,17,1,33085.85,336.9,0,1,2.0,833.33,0,2,3031.97,4,1,0,37567.92,0.0,0.11107923916161386,0.8806707778663853,33422.75
31,2223.3,0,2,12,0,99992.27,702.57,1,1,2.0,745.91,0,2,2223.965,2,0,1,145120.22,64994.98,0.3158611698062312,0.6890258364696769,100694.84000000001
43,5445.6,0,3,7,1,58236.85,435.07,0,1,2.0,718.89,0,0,5445.6,2,1,1,72025.12,40765.8,0.07987919068776851,0.808551814258494,58671.92
33,3175.91,0,3,12,2,185900.53,699.92,0,1,3.0,681.16,1,1,3175.91,2,1,1,210100.47,130130.37,0.2203147083172013,0.884813085791356,186600.45
51,4068.02,0,3,13,2,116442.26,841.91,0,0,3.0,831.88,0,2,4068.02,3,1,0,192340.59,0.0,0.20690731429189338,0.6053930405795231,117284.17
58,1633.88,0,2,7,1,48546.56,238.55,0,1,2.0,774.67,0,0,1633.88,2,2,1,84149.5,33982.59,0.14591284987277353,0.5769016226879222,48785.11
25,1224.99,0,2,12,0,84606.2,427.1,0,0,4.0,705.62,0,1,1224.99,1,0,1,136029.3,59224.34,0.3483715201592183,0.621965841433857,85033.3
51,1993.49,0,2,9,0,97298.45,275.74,1,1,2.0,801.23,0,2,1993.49,1,2,-999,157137.04,68108.91,0.13825088117764442,0.6191909355621338,97574.19
43,2223.3,0,2,12,1,43232.4,203.58,0,1,2.0,725.78,0,1,2223.965,3,2,1,70538.77,28101.06,0.09152542372881356,0.6128797981620864,43435.98
65,1047.12,1,5,7,1,40742.95,169.31,0,1,2.0,821.87,0,1,1047.12,1,2,0,56784.27,30557.21,0.16153684692592454,0.7174915255311809,40912.259999999995
28,1972.0,0,2,12,0,97666.72,356.08,1,0,2.0,796.03,0,0,1972.0,3,0,1,116536.87,68366.7,0.18047643182970097,0.8380685179847547,98022.8
26,5021.9,0,2,7,1,136882.85,699.72,0,1,3.0,643.89,1,0,5021.9,3,2,1,226130.72,0.0,0.1393059786179299,0.6053235255982664,137582.57
65,3865.02,1,5,7,1,217597.12,658.92,1,0,2.0,797.55,1,0,3865.02,4,2,1,263176.92,163197.84,0.1704388492558238,0.8268061393600193,218256.04
18,2223.3,0,2,15,1,27469.27,138.28,1,1,4.0,812.36,0,0,2223.965,2,0,1,50068.09,21975.42,0.062167873038708805,0.5486273067874811,27607.55
60,1318.47,0,2,5,1,30191.08,114.06,0,1,2.0,766.81,0,2,1318.47,1,1,1,36230.17,0.0,0.08644379940430627,0.8332902304838624,30305.140000000003
43,1794.1,0,2,7,0,33807.36,240.32,1,1,4.0,723.8,0,2,2223.965,1,0,1,51738.76,21974.78,0.13387555010862906,0.6534116122687852,34047.68
54,2814.48,0,2,7,2,100346.63,427.31,0,1,3.0,742.45,0,0,2814.48,1,1,1,132302.29,65225.31,0.1517716339664995,0.758459067797936,100773.94
24,1580.38,0,2,12,1,66041.19,325.89,0,0,4.0,717.92,0,2,1580.38,2,1,1,100265.3,46228.83,0.2060795001833841,0.6586578940282029,66367.08
55,2700.12,0,2,3,1,24890.1,141.45,1,0,2.0,757.67,0,2,2700.12,1,0,1,32954.34,18667.57,0.05236716621253406,0.7552675833415768,25031.55
50,2223.3,0,3,15,1,61445.67,316.61,0,1,2.0,710.12,0,2,2223.965,4,2,1,116623.96,43011.97,0.14234141078091983,0.5268655183247222,61762.28
50,2476.71,0,2,7,1,79928.84,336.88,1,1,2.0,678.0,0,1,2476.71,4,1,1,100315.66,51953.75,0.13596425731824952,0.7967653628021506,80265.72
46,2239.14,0,3,7,1,46755.67,237.28,0,1,2.0,676.78,0,1,2239.14,1,2,1,57625.06,0.0,0.10592195130661478,0.8113632963974979,46992.95
18,2760.03,0,2,4,1,64516.08,322.2,1,0,1.0,682.6,1,1,2760.03,3,0,1,117010.73,41935.45,0.11669558099694678,0.5513642093831106,64838.28
62,1519.67,1,5,7,1,45103.02,450.18,0,1,1.0,854.18,0,1,1519.67,2,1,1,75013.84,31572.11,0.29604056106847637,0.6012546317501977,45553.2
48,2590.89,0,2,1,1,32607.06,293.0,0,0,2.0,801.62,0,0,2590.89,2,0,1,60126.46,26085.65,0.11304492088784633,0.5422989762082084,32900.06
56,1589.8,0,2,13,0,42465.29,294.29,0,0,2.0,729.66,1,2,1589.8,3,0,1,68719.99,29725.7,0.18499497108373147,0.6179376926903992,42759.58
30,3967.09,0,2,13,1,175654.45,730.28,1,1,2.0,718.28,1,2,3967.09,2,0,1,198852.89,114175.39,0.18403816445695534,0.8833342410349629,176384.73
64,1179.18,0,3,13,0,30385.6,251.72,0,1,3.0,756.24,0,1,1179.18,4,1,1,39087.37,0.0,0.2132894982121371,0.7773565385305142,30637.32
22,2178.86,0,3,5,1,60176.63,282.93,0,0,1.0,813.17,0,0,2178.86,1,0,1,82905.84,45132.47,0.12979273898323745,0.7258343219932155,60459.56
37,1332.42,0,3,7,1,60017.87,475.42,0,1,1.0,728.29,0,2,1332.42,1,1,1,99319.12,42012.51,0.3565418247813892,0.6042871273212317,60493.29
36,2966.6,0,3,7,1,152200.62,736.35,0,1,3.0,766.19,0,0,2966.6,3,2,0,171476.96,0.0,0.24812980186008898,0.8875812378453768,152936.97
63,3516.53,0,2,17,1,111662.86,670.31,0,0,1.0,822.91,0,1,3516.53,4,1,1,149145.97,89330.29,0.19056269598269238,0.748676691185882,112333.17
61,2223.3,1,5,7,2,258359.02,938.59,1,1,3.0,791.54,0,2,2223.965,2,0,1,437535.71,193769.26,0.42197095715506,0.5904853560744651,259297.61
65,3477.95,1,5,7,0,44490.31,243.35,0,0,1.0,747.66,0,0,3477.95,4,0,1,60639.31,0.0,0.069949266301614,0.7336755039675753,44733.659999999996
22,1206.34,0,2,5,0,19195.88,97.75,0,1,2.0,669.13,0,0,1206.34,4,1,1,32233.86,12477.32,0.08096310898338496,0.5955006474357264,19293.63
56,1891.2,0,3,7,1,114434.1,360.1,1,1,3.0,739.815,0,1,1891.2,4,1,1,217245.44,0.0,0.19030757848007612,0.5267478721400453,114794.20000000001
53,2000.87,0,2,3,1,124714.96,631.2,1,1,2.0,675.33,0,0,2000.87,4,2,1,170138.05,87300.47,0.31530518964767945,0.7330178462851415,125346.16
34,2351.33,0,2,3,1,53358.88,272.46,1,0,4.0,657.77,1,1,2351.33,1,0,1,-999.0,34683.27,0.1158255856958845,-53.46581162324649,53631.34
53,1729.9,0,4,12,0,132530.58,439.49,0,0,1.0,630.55,0,2,1729.9,2,2,1,157052.24,0.0,0.25390837136749667,0.8438576625353288,132970.06999999998
48,979.49,0,2,10,1,24728.19,137.78,1,0,3.0,710.2,0,0,979.49,1,1,1,33750.19,16073.32,0.14052157594672052,0.7326612780171602,24865.969999999998
51,6060.9,0,2,17,2,102169.74,738.55,0,0,3.0,851.94,1,0,6060.9,3,0,1,139187.56,86844.28,0.1218347382833765,0.734038343381094,102908.29000000001
18,2223.3,0,2,7,1,30911.17,152.44,1,1,3.0,739.815,0,2,2223.965,4,1,1,41720.56,21637.82,0.06853392078406689,0.7408919992445153,31063.609999999997
40,2223.3,0,2,4,2,76049.06,341.29,0,1,2.0,760.05,0,0,2223.965,1,1,1,89983.16,60839.25,0.15343703637099312,0.8451382998963373,76390.34999999999
18,1532.0,0,2,7,1,33819.92,170.24,1,1,4.0,682.04,0,1,1532.0,4,0,-999,49033.5,21982.95,0.11105022831050229,0.6897168320264303,33990.159999999996
18,1844.18,0,2,7,2,155880.45,726.98,1,1,3.0,700.26,0,1,1844.18,4,0,0,229559.35,0.0,0.3939886623527244,0.6790390849290829,156607.43000000002
56,1894.11,0,2,9,1,36501.56,219.55,0,1,2.0,854.27,1,0,1894.11,1,2,1,53826.78,25551.09,0.11585079494066308,0.6781175073540093,36721.11
65,6446.85,1,5,7,1,37067.92,197.19,0,1,1.0,717.87,0,2,6446.85,1,2,0,62892.32,24094.15,0.03058228711896213,0.5893776954372897,37265.11
35,3537.39,0,3,12,1,27863.43,127.96,0,1,2.0,687.21,0,2,3537.39,1,1,1,49483.82,19504.4,0.036163339824044266,0.5630702506344369,27991.39
65,1356.3,1,5,7,0,90572.18,327.39,0,1,2.0,781.35,0,2,1356.3,4,2,1,139890.25,72457.74,0.24120680763280042,0.6474470704922574,90899.56999999999
58,1565.69,0,2,7,0,20284.94,179.39,0,0,1.0,660.75,1,1,1565.69,4,1,1,37516.71,13185.21,0.11450254996202183,0.5406763898969313,20464.329999999998
44,2223.3,0,3,5,1,38189.42,133.77,0,1,2.0,658.54,0,2,2223.965,4,1,1,66887.0,24823.12,0.060140268848626534,0.5709457600765458,38323.189999999995
63,1028.41,1,5,7,1,6840.47,66.86,0,1,1.0,770.26,0,0,1028.41,4,2,0,9440.89,5130.35,0.0649498256282725,0.7244810096283689,6907.33
42,2019.52,0,4,12,1,31003.62,249.76,0,1,4.0,632.51,0,1,2019.52,2,0,1,48389.84,0.0,0.12361174351157128,0.6406919160733726,31253.379999999997
18,3214.48,0,4,17,1,107040.92,589.89,0,0,2.0,681.92,0,0,3214.48,4,1,1,161283.95,69576.6,0.18345317028872826,0.6636758110412657,107630.81
23,1712.51,0,2,7,0,44232.77,213.61,0,0,2.0,630.48,0,1,1712.51,1,1,1,76206.18,0.0,0.12466224299829007,0.5804278546982056,44446.38
56,2223.3,0,4,15,1,200074.37,562.02,1,0,4.0,733.89,1,2,2223.965,1,1,1,364087.25,130048.34,0.2526727509778357,0.5495216338346541,200636.38999999998
59,2223.3,0,2,7,1,139265.98,388.1,1,1,3.0,704.75,0,1,2223.965,3,0,1,221176.16,90522.89,0.17448185946140357,0.6296580532998978,139654.08000000002
27,3370.31,0,2,7,0,107191.77,896.93,1,1,3.0,742.99,1,1,3370.31,1,2,0,153306.01,0.0,0.26604791609196426,0.6991967947193021,108088.7
64,1545.57,0,2,7,1,159560.45,498.49,0,0,1.0,707.22,0,1,1545.57,4,1,1,279036.8,103714.29,0.322319713947639,0.5718237815808468,160058.94
57,1040.76,0,3,12,0,7312.83,81.78,0,1,3.0,664.4,0,0,1040.76,3,0,1,8496.3,0.0,0.07850176624174474,0.8606063102397232,7394.61
22,4493.53,0,2,5,1,62366.83,283.94,1,1,2.0,797.71,0,1,4493.53,3,2,1,113945.92,49893.46,0.0631745699772835,0.5473323017418988,62650.770000000004
42,2139.98,0,2,12,1,24656.28,124.14,0,1,2.0,852.17,0,1,2139.98,4,0,1,31258.86,19725.02,0.0579827929266037,0.7887520929396357,24780.42
36,2223.3,0,2,5,1,97031.52,308.86,1,1,2.0,781.72,0,2,2223.965,2,0,1,169263.91,72773.64,0.13885716854740818,0.5732524242620636,97340.38
38,1274.01,0,2,7,1,51251.75,241.86,0,1,1.0,632.1,1,0,1274.01,2,1,1,70784.92,0.0,0.18969262986172658,0.724038763641131,51493.61
38,1919.85,0,2,7,1,31362.64,260.79,1,1,4.0,756.17,1,1,1919.85,1,0,1,52756.02,21953.85,0.13576801936642635,0.5944733042161973,31623.43
47,1273.04,0,2,5,0,38205.43,205.4,1,1,3.0,798.66,1,2,1273.04,2,2,1,64949.87,28654.07,0.16121942796144548,0.5882204503188333,38410.83
64,3418.19,0,3,15,0,59458.51,358.26,0,0,1.0,809.85,0,0,3418.19,3,2,1,92549.63,41620.96,0.10477920209172348,0.6424430606253031,59816.770000000004
32,4752.31,0,2,17,1,92444.56,447.98,1,0,2.0,723.27,0,2,4752.31,1,0,1,102105.1,64711.19,0.09424590443291096,0.9053774456178425,92892.54
41,2918.66,0,2,17,2,67945.04,361.46,0,1,2.0,739.815,0,2,2918.66,3,0,1,113957.08,47561.53,0.12380208654432365,0.5962283674839027,68306.5
26,2461.58,0,2,5,1,49549.37,354.87,0,1,2.0,649.78,0,0,2461.58,2,0,1,69007.01,0.0,0.1441049630874936,0.718023458436202,49904.240000000005
18,2223.3,0,3,17,0,74577.6,381.31,0,0,2.0,718.98,0,1,2223.965,1,0,1,106610.08,52204.32,0.17142921368520433,0.6995295423327482,74958.91
52,1598.0,0,3,3,1,63966.4,343.75,1,0,4.0,701.88,0,1,1598.0,3,0,1,97947.0,0.0,0.21497811131957473,0.6530648915751215,64310.15
39,2100.78,0,2,7,1,210569.27,537.7,1,0,1.0,699.5,0,2,2100.78,1,1,1,391691.7,147398.49,0.2558307720122943,0.5375879356444477,211106.97
58,1660.34,0,2,13,1,49598.48,265.6,0,1,1.0,763.17,0,2,1660.34,3,0,1,59389.33,39678.78,0.1598709475483646,0.8351272000004042,49864.08
18,2877.12,0,2,5,1,169359.86,1162.36,1,0,3.0,670.89,1,2,2877.12,2,2,1,265433.18,118551.9,0.40386085361277496,0.6380484231533406,170522.21999999997
30,2223.3,0,2,7,1,53106.96,162.12,0,0,1.0,739.815,0,2,2223.965,2,2,1,64680.13,34519.52,0.07288585172863372,0.821058011818903,53269.08
37,2223.3,0,3,15,2,79909.09,397.51,1,1,2.0,773.58,1,2,2223.965,2,2,1,123005.34,59931.82,0.1787124039023513,0.6496339131787842,80306.59999999999
28,3131.48,0,2,7,0,102536.42,557.03,0,1,1.0,669.4,1,1,3131.48,2,1,1,150194.71,71775.49,0.17782396056798447,0.6826854109215237,103093.45
18,3496.45,0,2,1,1,136037.97,604.69,1,0,2.0,831.56,0,1,3496.45,1,2,1,237410.99,95226.58,0.17289453744871267,0.5730037897412006,136642.66
65,2223.3,1,5,7,1,79442.15,381.79,1,1,2.0,684.07,0,0,2223.965,3,1,1,138667.33,55609.5,0.17164501191386053,0.5728932482276234,79823.93999999999
64,967.86,0,2,5,1,47048.96,240.63,0,0,2.0,671.05,0,0,967.86,2,2,1,52018.51,32934.27,0.24836405672646203,0.9044483502439757,47289.59
33,1491.84,0,2,6,1,98757.66,296.19,0,1,3.0,761.02,0,0,1491.84,3,1,1,133896.96,69130.36,0.19840706304761396,0.7375591084434745,99053.85
52,2182.76,0,2,7,1,138081.27,552.45,0,1,2.0,717.7,0,0,2182.76,4,0,1,210008.23,89752.83,0.2529810968238268,0.6575009584102565,138633.72
53,2867.54,0,3,7,1,88735.89,313.55,0,1,1.0,807.11,0,1,2867.54,2,2,0,133217.88,0.0,0.10930647646537961,0.6660909474693076,89049.44
42,2462.09,0,2,11,0,262719.4,702.81,1,1,3.0,798.13,0,2,2462.09,4,0,1,336636.4,183903.58,0.28533671120421905,0.7804224961338223,263422.21
32,2356.9,0,3,7,1,141950.43,371.69,1,1,2.0,739.815,0,0,2356.9,4,0,1,257724.9,92267.78,0.15763603206242843,0.5507806161507245,142322.12
64,6161.03,0,2,7,2,41219.31,199.82,0,1,2.0,644.13,1,0,6161.03,2,0,1,62932.33,0.0,0.032427625311788486,0.6549678842673667,41419.13
61,2223.3,0,2,3,1,42747.02,223.99,0,1,1.0,765.5,0,2,2223.965,1,2,1,63815.66,34197.62,0.10070134424313266,0.6698410728483752,42971.009999999995
18,2276.44,0,2,15,0,59606.76,290.99,1,1,2.0,846.2,0,1,2276.44,4,0,1,66854.51,-999.0,0.12777065477026836,0.8915758775903438,59897.75
51,6014.8,0,3,7,2,137881.43,704.56,1,1,5.0,758.89,0,1,6014.8,4,1,1,201934.97,96517.0,0.11711825526114564,0.6827977700060073,138585.99
62,2990.52,0,4,17,0,27568.48,211.08,0,0,2.0,657.53,1,0,2990.52,1,0,0,48938.58,0.0,0.07055944803979249,0.5633166447280503,27779.56
21,2836.78,0,2,7,0,123359.81,608.46,0,1,3.0,683.77,1,2,2836.78,2,1,1,188339.8,80183.88,0.21441408424895517,0.6549818732850238,123968.27
41,967.1,0,3,7,1,77009.45,403.1,0,0,2.0,764.3,0,1,967.1,1,2,1,87972.1,0.0,0.41638260510277864,0.8753749725768444,77412.55
36,2142.63,0,2,12,1,47814.96,261.43,0,1,1.0,847.83,1,0,2142.63,1,0,-999,83481.6,35861.22,0.12195668095706814,0.572753603744972,48076.39
42,1239.81,0,3,7,1,28781.77,197.86,0,1,2.0,745.39,0,0,1239.81,1,2,1,34640.81,18708.15,0.1594603525116658,0.8308390929919656,28979.63
31,2223.3,0,2,5,1,145343.2,927.59,0,0,2.0,841.12,1,0,2223.965,3,1,1,256615.01,101740.24,0.4170255810816886,0.566383991396328,146270.79
18,2223.3,0,2,7,1,23807.1,123.46,0,0,1.0,682.32,0,0,2223.965,1,1,1,43868.75,15474.62,0.05550510272894842,0.5426769015095823,23930.559999999998
35,3048.84,0,2,7,2,86281.74,635.82,0,0,3.0,779.09,0,2,3048.84,2,2,1,133711.7,60397.22,0.2084765102431603,0.6452770754012147,86917.56000000001
36,1256.46,0,3,7,1,87663.0,501.31,0,1,3.0,760.06,0,0,1256.46,3,2,1,149690.69,61364.1,0.3986687449302562,0.5856236909343464,88164.31
18,1804.62,0,3,13,1,138931.88,488.59,0,0,1.0,782.31,0,2,1804.62,1,0,1,156867.8,111145.5,0.2705940341821646,0.8856565486572219,139420.47
64,3637.7,0,3,17,0,23811.63,162.44,0,0,2.0,811.11,0,1,3637.7,3,1,1,40867.64,19049.3,0.044642317311127604,0.5826381792983569,23974.07
18,1146.99,0,3,5,1,26279.47,132.24,0,1,3.0,610.31,0,2,1146.99,2,1,0,44808.44,0.0,0.11519264105088024,0.5864717345273674,26411.710000000003
26,4338.52,0,2,5,1,106168.08,327.38,1,1,2.0,739.815,0,0,4338.52,2,0,1,164951.03,74317.66,0.07544152348646854,0.6436300298941456,106495.46
31,3181.79,0,2,7,1,56230.74,378.54,0,1,1.0,603.11,1,1,3181.79,2,2,1,64656.86,0.0,0.11893338863072965,0.869665961725303,56609.28
43,2532.51,0,2,7,0,6189.5,34.04,0,1,4.0,728.51,0,0,2532.51,1,1,1,8406.79,4023.18,0.013435905127668726,0.7361625349824388,6223.54
62,2334.17,0,3,7,1,174980.55,639.42,0,1,2.0,689.17,0,0,2334.17,4,0,1,322776.3,113737.36,0.2738216061357417,0.5421092189568473,175619.97
